axis_id,threshold_method,ert_threshold,silhouette,balance,coherence,n_I,n_II,n_III,n_IV,n_total,n_empty_quads,has_all_quads,composite
cma__lutz_species_site,otsu,-0.013576285714285602,0.4794252243923747,0.9098727746466464,1,18,24,8,7,57,0,TRUE,0.7952670221989927
abs_cma__lutz_species_site,mean,-0.010002429685324424,0.4794252243923747,0.9098727746466464,1,18,24,8,7,57,0,TRUE,0.7952670221989927
abs_cma__lutz_species_site,otsu,-0.013576285714285602,0.4794252243923747,0.9098727746466464,1,18,24,8,7,57,0,TRUE,0.7952670221989927
cv_x_abscma__product_species_znorm,mean,0,0.4848410063698572,0.9022136644250758,1,25,17,9,6,57,0,TRUE,0.795247768335719
cma__site_znorm,otsu,-0.28725361376743697,0.4993473373862257,0.8818133689795014,1,14,28,9,6,57,0,TRUE,0.7952249103300543
cma__site_znorm,gmm,-0.2790498529476989,0.4993473373862257,0.8818133689795014,1,14,28,9,6,57,0,TRUE,0.7952249103300543
abs_cma__site_znorm,otsu,-0.28725361376743697,0.4993473373862257,0.8818133689795014,1,14,28,9,6,57,0,TRUE,0.7952249103300543
abs_cma__site_znorm,gmm,-0.2790498529476989,0.4993473373862257,0.8818133689795014,1,14,28,9,6,57,0,TRUE,0.7952249103300543
sd__species_znorm,median,-0.07989999612677089,0.47589218177261156,0.9113120463360942,1,20,22,6,9,57,0,TRUE,0.7943902752044375
cma__raw,median,0.296,0.4733947935718264,0.9147121828528005,1,22,20,8,7,57,0,TRUE,0.7943662234633393
abs_cma__raw,median,0.296,0.4733947935718264,0.9147121828528005,1,22,20,8,7,57,0,TRUE,0.7943662234633393
cma__lutz_global,median,0.03846666666666665,0.4733947935718264,0.9147121828528005,1,22,20,8,7,57,0,TRUE,0.7943662234633393
abs_cma__lutz_global,median,0.03846666666666665,0.4733947935718264,0.9147121828528005,1,22,20,8,7,57,0,TRUE,0.7943662234633393
cma__species_site_znorm,median,0.19828423922476993,0.4731430331131772,0.9147121828528005,1,22,20,8,7,57,0,TRUE,0.7942781073028121
abs_cma__species_site_znorm,median,0.19828423922476993,0.4731430331131772,0.9147121828528005,1,22,20,8,7,57,0,TRUE,0.7942781073028121
neg_mean__species_znorm,otsu,-0.10889306406651432,0.4851392448327249,0.8942425547865971,1,21,21,11,4,57,0,TRUE,0.793359374388103
cv_x_abscma__product_species_znorm,median,-0.15049152023829088,0.47355916473322757,0.9095007284679221,1,23,19,9,6,57,0,TRUE,0.7931208897736101
cv_x_negmean__product_species_znorm,median,0.07961139726322602,0.47348676229046593,0.9095007284679221,1,23,19,9,6,57,0,TRUE,0.7930955489186435
PC3__pca_species_norm,otsu,0.06518535047457374,0.4728076707366846,0.9098727746466464,1,24,18,7,8,57,0,TRUE,0.7929508784195012
PC3__pca_species_norm,gmm,0.0957351286192148,0.4728076707366846,0.9098727746466464,1,24,18,7,8,57,0,TRUE,0.7929508784195012
